Geography,variable,population
British Columbia / Colombie-Britannique ( 26.1%),Immigrants_2,630385
British Columbia / Colombie-Britannique ( 26.1%),Before 1971_2,113710
British Columbia / Colombie-Britannique ( 26.1%),1971 to 1980_2,84470
British Columbia / Colombie-Britannique ( 26.1%),1981 to 1990_2,83820
British Columbia / Colombie-Britannique ( 26.1%),1991 to 2000_2,164670
British Columbia / Colombie-Britannique ( 26.1%),2001 to 2011_2,183710
British Columbia / Colombie-Britannique ( 26.1%),2001 to 2005_2,85710
British Columbia / Colombie-Britannique ( 26.1%),2006 to 2011_2,98005
British Columbia / Colombie-Britannique ( 26.1%),Non-permanent residents_2,34115
British Columbia / Colombie-Britannique ( 26.1%),Total immigrant population in private households by age at immigration,1191875
British Columbia / Colombie-Britannique ( 26.1%),Under 5 years,108990
British Columbia / Colombie-Britannique ( 26.1%),5 to 14 years,201815
British Columbia / Colombie-Britannique ( 26.1%),15 to 24 years,268750
British Columbia / Colombie-Britannique ( 26.1%),25 to 44 years,476835
British Columbia / Colombie-Britannique ( 26.1%),45 years and over,135480
British Columbia / Colombie-Britannique ( 26.1%),Male immigrants in private households by age at immigration,561490
British Columbia / Colombie-Britannique ( 26.1%),Under 5 years_1,54755
British Columbia / Colombie-Britannique ( 26.1%),5 to 14 years_1,103900
British Columbia / Colombie-Britannique ( 26.1%),15 to 24 years_1,121585
British Columbia / Colombie-Britannique ( 26.1%),25 to 44 years_1,218305
British Columbia / Colombie-Britannique ( 26.1%),45 years and over_1,62945
British Columbia / Colombie-Britannique ( 26.1%),Female immigrants in private households by age at immigration,630385
British Columbia / Colombie-Britannique ( 26.1%),Under 5 years_2,54235
British Columbia / Colombie-Britannique ( 26.1%),5 to 14 years_2,97915
British Columbia / Colombie-Britannique ( 26.1%),15 to 24 years_2,147165
British Columbia / Colombie-Britannique ( 26.1%),25 to 44 years_2,258535
British Columbia / Colombie-Britannique ( 26.1%),45 years and over_2,72540
British Columbia / Colombie-Britannique ( 26.1%),Total population in private households by immigrant status and selected places of birth,4324455
British Columbia / Colombie-Britannique ( 26.1%),Non-immigrants_3,3067590
British Columbia / Colombie-Britannique ( 26.1%),Born in province of residence,2106255
British Columbia / Colombie-Britannique ( 26.1%),Born outside province of residence,961330
British Columbia / Colombie-Britannique ( 26.1%),Immigrants_3,1191880
British Columbia / Colombie-Britannique ( 26.1%),Americas,105195
British Columbia / Colombie-Britannique ( 26.1%),United States,57980
British Columbia / Colombie-Britannique ( 26.1%),Jamaica,2865
British Columbia / Colombie-Britannique ( 26.1%),Guyana,1320
British Columbia / Colombie-Britannique ( 26.1%),Haiti,545
British Columbia / Colombie-Britannique ( 26.1%),Mexico,8775
British Columbia / Colombie-Britannique ( 26.1%),Trinidad and Tobago,2795
British Columbia / Colombie-Britannique ( 26.1%),Colombia,3310
British Columbia / Colombie-Britannique ( 26.1%),El Salvador,5635
British Columbia / Colombie-Britannique ( 26.1%),Peru,2930
British Columbia / Colombie-Britannique ( 26.1%),Chile,2640
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Americas,16405
British Columbia / Colombie-Britannique ( 26.1%),Europe,322795
British Columbia / Colombie-Britannique ( 26.1%),United Kingdom,130730
British Columbia / Colombie-Britannique ( 26.1%),Italy,15985
British Columbia / Colombie-Britannique ( 26.1%),Germany,35100
British Columbia / Colombie-Britannique ( 26.1%),Poland,14625
British Columbia / Colombie-Britannique ( 26.1%),Portugal,8135
British Columbia / Colombie-Britannique ( 26.1%),Netherlands,20645
British Columbia / Colombie-Britannique ( 26.1%),France,5340
British Columbia / Colombie-Britannique ( 26.1%),Romania,8005
British Columbia / Colombie-Britannique ( 26.1%),Russian Federation,8795
British Columbia / Colombie-Britannique ( 26.1%),Greece,3350
British Columbia / Colombie-Britannique ( 26.1%),Ukraine,7060
British Columbia / Colombie-Britannique ( 26.1%),Croatia,5640
British Columbia / Colombie-Britannique ( 26.1%),Hungary,5960
British Columbia / Colombie-Britannique ( 26.1%),Bosnia and Herzegovina,4215
British Columbia / Colombie-Britannique ( 26.1%),Serbia,4630
British Columbia / Colombie-Britannique ( 26.1%),"Ireland, Republic of",5175
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Europe,39410
British Columbia / Colombie-Britannique ( 26.1%),Africa,37275
British Columbia / Colombie-Britannique ( 26.1%),Morocco,910
British Columbia / Colombie-Britannique ( 26.1%),Algeria,485
British Columbia / Colombie-Britannique ( 26.1%),Egypt,1770
British Columbia / Colombie-Britannique ( 26.1%),"South Africa, Republic of",12815
British Columbia / Colombie-Britannique ( 26.1%),Nigeria,1230
British Columbia / Colombie-Britannique ( 26.1%),Ethiopia,1645
British Columbia / Colombie-Britannique ( 26.1%),Kenya,4520
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Africa,13905
British Columbia / Colombie-Britannique ( 26.1%),Asia,696700
British Columbia / Colombie-Britannique ( 26.1%),India,143345
British Columbia / Colombie-Britannique ( 26.1%),China,167530
British Columbia / Colombie-Britannique ( 26.1%),Philippines,96560
British Columbia / Colombie-Britannique ( 26.1%),Hong Kong Special Administrative Region,74640
British Columbia / Colombie-Britannique ( 26.1%),Viet Nam,25840
British Columbia / Colombie-Britannique ( 26.1%),Pakistan,8565
British Columbia / Colombie-Britannique ( 26.1%),Sri Lanka,4430
British Columbia / Colombie-Britannique ( 26.1%),Iran,30050
British Columbia / Colombie-Britannique ( 26.1%),"Korea, South",37730
British Columbia / Colombie-Britannique ( 26.1%),Lebanon,1740
British Columbia / Colombie-Britannique ( 26.1%),Taiwan,42040
British Columbia / Colombie-Britannique ( 26.1%),Iraq,3430
British Columbia / Colombie-Britannique ( 26.1%),Bangladesh,1580
British Columbia / Colombie-Britannique ( 26.1%),Afghanistan,3525
British Columbia / Colombie-Britannique ( 26.1%),Japan,12355
British Columbia / Colombie-Britannique ( 26.1%),Turkey,2105
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Asia,41235
British Columbia / Colombie-Britannique ( 26.1%),Oceania and other,29915
British Columbia / Colombie-Britannique ( 26.1%),Fiji,17560
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth,12355
British Columbia / Colombie-Britannique ( 26.1%),Non-permanent residents_3,64990
British Columbia / Colombie-Britannique ( 26.1%),Males in private households by immigrant status and selected places of birth,2125625
British Columbia / Colombie-Britannique ( 26.1%),Non-immigrants_4,1533255
British Columbia / Colombie-Britannique ( 26.1%),Born in province of residence_1,1059575
British Columbia / Colombie-Britannique ( 26.1%),Born outside province of residence_1,473680
British Columbia / Colombie-Britannique ( 26.1%),Immigrants_4,561485
British Columbia / Colombie-Britannique ( 26.1%),Americas_1,48190
British Columbia / Colombie-Britannique ( 26.1%),United States_1,26730
British Columbia / Colombie-Britannique ( 26.1%),Jamaica_1,1315
British Columbia / Colombie-Britannique ( 26.1%),Guyana_1,570
British Columbia / Colombie-Britannique ( 26.1%),Haiti_1,245
British Columbia / Colombie-Britannique ( 26.1%),Mexico_1,3905
British Columbia / Colombie-Britannique ( 26.1%),Trinidad and Tobago_1,1300
British Columbia / Colombie-Britannique ( 26.1%),Colombia_1,1425
British Columbia / Colombie-Britannique ( 26.1%),El Salvador_1,2565
British Columbia / Colombie-Britannique ( 26.1%),Peru_1,1160
British Columbia / Colombie-Britannique ( 26.1%),Chile_1,1180
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Americas_1,7785
British Columbia / Colombie-Britannique ( 26.1%),Europe_1,159085
British Columbia / Colombie-Britannique ( 26.1%),United Kingdom_1,63185
British Columbia / Colombie-Britannique ( 26.1%),Italy_1,8620
British Columbia / Colombie-Britannique ( 26.1%),Germany_1,17155
British Columbia / Colombie-Britannique ( 26.1%),Poland_1,6955
British Columbia / Colombie-Britannique ( 26.1%),Portugal_1,3970
British Columbia / Colombie-Britannique ( 26.1%),Netherlands_1,10460
British Columbia / Colombie-Britannique ( 26.1%),France_1,2745
British Columbia / Colombie-Britannique ( 26.1%),Romania_1,3890
British Columbia / Colombie-Britannique ( 26.1%),Russian Federation_1,3930
British Columbia / Colombie-Britannique ( 26.1%),Greece_1,1875
British Columbia / Colombie-Britannique ( 26.1%),Ukraine_1,3345
British Columbia / Colombie-Britannique ( 26.1%),Croatia_1,2895
British Columbia / Colombie-Britannique ( 26.1%),Hungary_1,3195
British Columbia / Colombie-Britannique ( 26.1%),Bosnia and Herzegovina_1,2125
British Columbia / Colombie-Britannique ( 26.1%),Serbia_1,2355
British Columbia / Colombie-Britannique ( 26.1%),"Ireland, Republic of_1",2640
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Europe_1,19750
British Columbia / Colombie-Britannique ( 26.1%),Africa_1,18585
British Columbia / Colombie-Britannique ( 26.1%),Morocco_1,500
British Columbia / Colombie-Britannique ( 26.1%),Algeria_1,305
British Columbia / Colombie-Britannique ( 26.1%),Egypt_1,1030
British Columbia / Colombie-Britannique ( 26.1%),"South Africa, Republic of_1",6275
British Columbia / Colombie-Britannique ( 26.1%),Nigeria_1,795
British Columbia / Colombie-Britannique ( 26.1%),Ethiopia_1,780
British Columbia / Colombie-Britannique ( 26.1%),Kenya_1,2030
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Africa_1,6860
British Columbia / Colombie-Britannique ( 26.1%),Asia_1,321170
British Columbia / Colombie-Britannique ( 26.1%),India_1,69730
British Columbia / Colombie-Britannique ( 26.1%),China_1,75680
British Columbia / Colombie-Britannique ( 26.1%),Philippines_1,39985
British Columbia / Colombie-Britannique ( 26.1%),Hong Kong Special Administrative Region_1,35040
British Columbia / Colombie-Britannique ( 26.1%),Viet Nam_1,11655
British Columbia / Colombie-Britannique ( 26.1%),Pakistan_1,4440
British Columbia / Colombie-Britannique ( 26.1%),Sri Lanka_1,2330
British Columbia / Colombie-Britannique ( 26.1%),Iran_1,14960
British Columbia / Colombie-Britannique ( 26.1%),"Korea, South_1",17640
British Columbia / Colombie-Britannique ( 26.1%),Lebanon_1,925
British Columbia / Colombie-Britannique ( 26.1%),Taiwan_1,19575
British Columbia / Colombie-Britannique ( 26.1%),Iraq_1,1850
British Columbia / Colombie-Britannique ( 26.1%),Bangladesh_1,845
British Columbia / Colombie-Britannique ( 26.1%),Afghanistan_1,1765
British Columbia / Colombie-Britannique ( 26.1%),Japan_1,3885
British Columbia / Colombie-Britannique ( 26.1%),Turkey_1,1260
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Asia_1,19620
British Columbia / Colombie-Britannique ( 26.1%),Oceania and other_1,14460
British Columbia / Colombie-Britannique ( 26.1%),Fiji_1,8155
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth_1,6305
British Columbia / Colombie-Britannique ( 26.1%),Non-permanent residents_4,30880
British Columbia / Colombie-Britannique ( 26.1%),Females in private households by immigrant status and selected places of birth,2198830
British Columbia / Colombie-Britannique ( 26.1%),Non-immigrants_5,1534330
British Columbia / Colombie-Britannique ( 26.1%),Born in province of residence_2,1046675
British Columbia / Colombie-Britannique ( 26.1%),Born outside province of residence_2,487655
British Columbia / Colombie-Britannique ( 26.1%),Immigrants_5,630385
British Columbia / Colombie-Britannique ( 26.1%),Americas_2,57010
British Columbia / Colombie-Britannique ( 26.1%),United States_2,31245
British Columbia / Colombie-Britannique ( 26.1%),Jamaica_2,1550
British Columbia / Colombie-Britannique ( 26.1%),Guyana_2,750
British Columbia / Colombie-Britannique ( 26.1%),Haiti_2,295
British Columbia / Colombie-Britannique ( 26.1%),Mexico_2,4865
British Columbia / Colombie-Britannique ( 26.1%),Trinidad and Tobago_2,1495
British Columbia / Colombie-Britannique ( 26.1%),Colombia_2,1885
British Columbia / Colombie-Britannique ( 26.1%),El Salvador_2,3070
British Columbia / Colombie-Britannique ( 26.1%),Peru_2,1765
British Columbia / Colombie-Britannique ( 26.1%),Chile_2,1460
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Americas_2,8620
British Columbia / Colombie-Britannique ( 26.1%),Europe_2,163715
British Columbia / Colombie-Britannique ( 26.1%),United Kingdom_2,67545
British Columbia / Colombie-Britannique ( 26.1%),Italy_2,7365
British Columbia / Colombie-Britannique ( 26.1%),Germany_2,17950
British Columbia / Colombie-Britannique ( 26.1%),Poland_2,7670
British Columbia / Colombie-Britannique ( 26.1%),Portugal_2,4160
British Columbia / Colombie-Britannique ( 26.1%),Netherlands_2,10180
British Columbia / Colombie-Britannique ( 26.1%),France_2,2595
British Columbia / Colombie-Britannique ( 26.1%),Romania_2,4115
British Columbia / Colombie-Britannique ( 26.1%),Russian Federation_2,4865
British Columbia / Colombie-Britannique ( 26.1%),Greece_2,1470
British Columbia / Colombie-Britannique ( 26.1%),Ukraine_2,3715
British Columbia / Colombie-Britannique ( 26.1%),Croatia_2,2750
British Columbia / Colombie-Britannique ( 26.1%),Hungary_2,2770
British Columbia / Colombie-Britannique ( 26.1%),Bosnia and Herzegovina_2,2095
British Columbia / Colombie-Britannique ( 26.1%),Serbia_2,2280
British Columbia / Colombie-Britannique ( 26.1%),"Ireland, Republic of_2",2535
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Europe_2,19660
British Columbia / Colombie-Britannique ( 26.1%),Africa_2,18685
British Columbia / Colombie-Britannique ( 26.1%),Morocco_2,410
British Columbia / Colombie-Britannique ( 26.1%),Algeria_2,175
British Columbia / Colombie-Britannique ( 26.1%),Egypt_2,740
British Columbia / Colombie-Britannique ( 26.1%),"South Africa, Republic of_2",6535
British Columbia / Colombie-Britannique ( 26.1%),Nigeria_2,435
British Columbia / Colombie-Britannique ( 26.1%),Ethiopia_2,865
British Columbia / Colombie-Britannique ( 26.1%),Kenya_2,2485
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Africa_2,7045
British Columbia / Colombie-Britannique ( 26.1%),Asia_2,375530
British Columbia / Colombie-Britannique ( 26.1%),India_2,73610
British Columbia / Colombie-Britannique ( 26.1%),China_2,91850
British Columbia / Colombie-Britannique ( 26.1%),Philippines_2,56575
British Columbia / Colombie-Britannique ( 26.1%),Hong Kong Special Administrative Region_2,39600
British Columbia / Colombie-Britannique ( 26.1%),Viet Nam_2,14185
British Columbia / Colombie-Britannique ( 26.1%),Pakistan_2,4130
British Columbia / Colombie-Britannique ( 26.1%),Sri Lanka_2,2105
British Columbia / Colombie-Britannique ( 26.1%),Iran_2,15095
British Columbia / Colombie-Britannique ( 26.1%),"Korea, South_2",20090
British Columbia / Colombie-Britannique ( 26.1%),Lebanon_2,815
British Columbia / Colombie-Britannique ( 26.1%),Taiwan_2,22465
British Columbia / Colombie-Britannique ( 26.1%),Iraq_2,1580
British Columbia / Colombie-Britannique ( 26.1%),Bangladesh_2,740
British Columbia / Colombie-Britannique ( 26.1%),Afghanistan_2,1755
British Columbia / Colombie-Britannique ( 26.1%),Japan_2,8480
British Columbia / Colombie-Britannique ( 26.1%),Turkey_2,840
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Asia_2,21610
British Columbia / Colombie-Britannique ( 26.1%),Oceania and other_2,15450
British Columbia / Colombie-Britannique ( 26.1%),Fiji_2,9400
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth_2,6055
British Columbia / Colombie-Britannique ( 26.1%),Non-permanent residents_5,34110
British Columbia / Colombie-Britannique ( 26.1%),Total recent immigrant population in private households by selected places of birth,185120
British Columbia / Colombie-Britannique ( 26.1%),Americas_3,17200
British Columbia / Colombie-Britannique ( 26.1%),United States_3,8675
British Columbia / Colombie-Britannique ( 26.1%),Mexico_3,2715
British Columbia / Colombie-Britannique ( 26.1%),Cuba,280
British Columbia / Colombie-Britannique ( 26.1%),Haiti_3,120
British Columbia / Colombie-Britannique ( 26.1%),Jamaica_3,345
British Columbia / Colombie-Britannique ( 26.1%),Brazil,995
British Columbia / Colombie-Britannique ( 26.1%),Colombia_3,1000
British Columbia / Colombie-Britannique ( 26.1%),Guyana_3,70
British Columbia / Colombie-Britannique ( 26.1%),Peru_3,675
British Columbia / Colombie-Britannique ( 26.1%),Venezuela,230
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Americas_3,2085
British Columbia / Colombie-Britannique ( 26.1%),Europe_3,22890
British Columbia / Colombie-Britannique ( 26.1%),France_3,780
British Columbia / Colombie-Britannique ( 26.1%),Germany_3,2015
British Columbia / Colombie-Britannique ( 26.1%),Poland_3,585
British Columbia / Colombie-Britannique ( 26.1%),Romania_3,1570
British Columbia / Colombie-Britannique ( 26.1%),Moldova,330
British Columbia / Colombie-Britannique ( 26.1%),Russian Federation_3,2450
British Columbia / Colombie-Britannique ( 26.1%),Ukraine_3,1005
British Columbia / Colombie-Britannique ( 26.1%),United Kingdom_3,8960
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Europe_3,5185
British Columbia / Colombie-Britannique ( 26.1%),Africa_3,6180
British Columbia / Colombie-Britannique ( 26.1%),Nigeria_3,620
British Columbia / Colombie-Britannique ( 26.1%),Ethiopia_3,425
British Columbia / Colombie-Britannique ( 26.1%),Mauritius,220
British Columbia / Colombie-Britannique ( 26.1%),Somalia,150
British Columbia / Colombie-Britannique ( 26.1%),Algeria_3,140
British Columbia / Colombie-Britannique ( 26.1%),Egypt_3,400
British Columbia / Colombie-Britannique ( 26.1%),Morocco_3,265
British Columbia / Colombie-Britannique ( 26.1%),Tunisia,80
British Columbia / Colombie-Britannique ( 26.1%),Cameroon,30
British Columbia / Colombie-Britannique ( 26.1%),"Congo, The Democratic Republic of the",145
British Columbia / Colombie-Britannique ( 26.1%),"South Africa, Republic of_3",1590
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Africa_3,2125
British Columbia / Colombie-Britannique ( 26.1%),Asia_3,135650
British Columbia / Colombie-Britannique ( 26.1%),Philippines_3,27785
British Columbia / Colombie-Britannique ( 26.1%),China_3,38595
British Columbia / Colombie-Britannique ( 26.1%),India_3,25835
British Columbia / Colombie-Britannique ( 26.1%),Pakistan_3,1795
British Columbia / Colombie-Britannique ( 26.1%),Iran_3,6690
British Columbia / Colombie-Britannique ( 26.1%),South Korea,10110
British Columbia / Colombie-Britannique ( 26.1%),Sri Lanka_3,1125
British Columbia / Colombie-Britannique ( 26.1%),Iraq_3,1375
British Columbia / Colombie-Britannique ( 26.1%),Bangladesh_3,420
British Columbia / Colombie-Britannique ( 26.1%),Lebanon_3,350
British Columbia / Colombie-Britannique ( 26.1%),Viet Nam_3,1705
British Columbia / Colombie-Britannique ( 26.1%),Taiwan_3,5695
British Columbia / Colombie-Britannique ( 26.1%),Afghanistan_3,800
British Columbia / Colombie-Britannique ( 26.1%),Japan_3,2630
British Columbia / Colombie-Britannique ( 26.1%),Turkey_3,865
British Columbia / Colombie-Britannique ( 26.1%),Israel,460
British Columbia / Colombie-Britannique ( 26.1%),Nepal,520
British Columbia / Colombie-Britannique ( 26.1%),Hong Kong Special Administrative Region_3,1725
British Columbia / Colombie-Britannique ( 26.1%),United Arab Emirates,260
British Columbia / Colombie-Britannique ( 26.1%),Saudi Arabia,380
British Columbia / Colombie-Britannique ( 26.1%),Syria,190
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Asia_3,6335
British Columbia / Colombie-Britannique ( 26.1%),Oceania and other_3,3200
British Columbia / Colombie-Britannique ( 26.1%),Recent male immigrants in private households by selected places of birth,87115
British Columbia / Colombie-Britannique ( 26.1%),Americas_4,8245
British Columbia / Colombie-Britannique ( 26.1%),United States_4,4240
British Columbia / Colombie-Britannique ( 26.1%),Mexico_4,1335
British Columbia / Colombie-Britannique ( 26.1%),Cuba_1,170
British Columbia / Colombie-Britannique ( 26.1%),Haiti_4,65
British Columbia / Colombie-Britannique ( 26.1%),Jamaica_4,195
British Columbia / Colombie-Britannique ( 26.1%),Brazil_1,410
British Columbia / Colombie-Britannique ( 26.1%),Colombia_4,405
British Columbia / Colombie-Britannique ( 26.1%),Guyana_4,40
British Columbia / Colombie-Britannique ( 26.1%),Peru_4,250
British Columbia / Colombie-Britannique ( 26.1%),Venezuela_1,95
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Americas_4,1050
British Columbia / Colombie-Britannique ( 26.1%),Europe_4,11925
British Columbia / Colombie-Britannique ( 26.1%),France_4,440
British Columbia / Colombie-Britannique ( 26.1%),Germany_4,1020
British Columbia / Colombie-Britannique ( 26.1%),Poland_4,265
British Columbia / Colombie-Britannique ( 26.1%),Romania_4,780
British Columbia / Colombie-Britannique ( 26.1%),Moldova_1,165
British Columbia / Colombie-Britannique ( 26.1%),Russian Federation_4,1060
British Columbia / Colombie-Britannique ( 26.1%),Ukraine_4,435
British Columbia / Colombie-Britannique ( 26.1%),United Kingdom_4,5055
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Europe_4,2700
British Columbia / Colombie-Britannique ( 26.1%),Africa_4,3080
British Columbia / Colombie-Britannique ( 26.1%),Nigeria_4,385
British Columbia / Colombie-Britannique ( 26.1%),Ethiopia_4,175
British Columbia / Colombie-Britannique ( 26.1%),Mauritius_1,115
British Columbia / Colombie-Britannique ( 26.1%),Somalia_1,65
British Columbia / Colombie-Britannique ( 26.1%),Algeria_4,50
British Columbia / Colombie-Britannique ( 26.1%),Egypt_4,205
British Columbia / Colombie-Britannique ( 26.1%),Morocco_4,120
British Columbia / Colombie-Britannique ( 26.1%),Tunisia_1,30
British Columbia / Colombie-Britannique ( 26.1%),Cameroon_1,0
British Columbia / Colombie-Britannique ( 26.1%),"Congo, The Democratic Republic of the_1",70
British Columbia / Colombie-Britannique ( 26.1%),"South Africa, Republic of_4",795
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Africa_4,1060
British Columbia / Colombie-Britannique ( 26.1%),Asia_4,62075
British Columbia / Colombie-Britannique ( 26.1%),Philippines_4,12490
British Columbia / Colombie-Britannique ( 26.1%),China_4,17005
British Columbia / Colombie-Britannique ( 26.1%),India_4,12660
British Columbia / Colombie-Britannique ( 26.1%),Pakistan_4,890
British Columbia / Colombie-Britannique ( 26.1%),Iran_4,3260
British Columbia / Colombie-Britannique ( 26.1%),South Korea_1,4620
British Columbia / Colombie-Britannique ( 26.1%),Sri Lanka_4,610
British Columbia / Colombie-Britannique ( 26.1%),Iraq_4,720
British Columbia / Colombie-Britannique ( 26.1%),Bangladesh_4,235
British Columbia / Colombie-Britannique ( 26.1%),Lebanon_4,195
British Columbia / Colombie-Britannique ( 26.1%),Viet Nam_4,525
British Columbia / Colombie-Britannique ( 26.1%),Taiwan_4,2710
British Columbia / Colombie-Britannique ( 26.1%),Afghanistan_4,400
British Columbia / Colombie-Britannique ( 26.1%),Japan_4,660
British Columbia / Colombie-Britannique ( 26.1%),Turkey_4,505
British Columbia / Colombie-Britannique ( 26.1%),Israel_1,200
British Columbia / Colombie-Britannique ( 26.1%),Nepal_1,245
British Columbia / Colombie-Britannique ( 26.1%),Hong Kong Special Administrative Region_4,755
British Columbia / Colombie-Britannique ( 26.1%),United Arab Emirates_1,115
British Columbia / Colombie-Britannique ( 26.1%),Saudi Arabia_1,230
British Columbia / Colombie-Britannique ( 26.1%),Syria_1,90
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Asia_4,2965
British Columbia / Colombie-Britannique ( 26.1%),Oceania and other_4,1790
British Columbia / Colombie-Britannique ( 26.1%),Recent female immigrants in private households by selected places of birth,98005
British Columbia / Colombie-Britannique ( 26.1%),Americas_5,8955
British Columbia / Colombie-Britannique ( 26.1%),United States_5,4435
British Columbia / Colombie-Britannique ( 26.1%),Mexico_5,1380
British Columbia / Colombie-Britannique ( 26.1%),Cuba_2,115
British Columbia / Colombie-Britannique ( 26.1%),Haiti_5,55
British Columbia / Colombie-Britannique ( 26.1%),Jamaica_5,150
British Columbia / Colombie-Britannique ( 26.1%),Brazil_2,580
British Columbia / Colombie-Britannique ( 26.1%),Colombia_5,595
British Columbia / Colombie-Britannique ( 26.1%),Guyana_5,35
British Columbia / Colombie-Britannique ( 26.1%),Peru_5,430
British Columbia / Colombie-Britannique ( 26.1%),Venezuela_2,135
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Americas_5,1035
British Columbia / Colombie-Britannique ( 26.1%),Europe_5,10965
British Columbia / Colombie-Britannique ( 26.1%),France_5,340
British Columbia / Colombie-Britannique ( 26.1%),Germany_5,1000
British Columbia / Colombie-Britannique ( 26.1%),Poland_5,315
British Columbia / Colombie-Britannique ( 26.1%),Romania_5,785
British Columbia / Colombie-Britannique ( 26.1%),Moldova_2,170
British Columbia / Colombie-Britannique ( 26.1%),Russian Federation_5,1385
British Columbia / Colombie-Britannique ( 26.1%),Ukraine_5,580
British Columbia / Colombie-Britannique ( 26.1%),United Kingdom_5,3905
British Columbia / Colombie-Britannique ( 26.1%),Other places of birth in Europe_5,2485
British Columbia / Colombie-Britannique ( 26.1%),Africa_5,3100
British Columbia / Colombie-Britannique ( 26.1%),Nigeria_5,230
British Columbia / Colombie-Britannique ( 26.1%),Ethiopia_5,250
